station_name,subway_lines,latitude,longitude
Airport,Blue Line,42.374262,-71.030395
Alewife,Red Line,42.39583,-71.141287
Allston Street,Green Line B,42.348701,-71.137955
Amory Street,Green Line B,42.350992,-71.114748
Andrew,Red Line,42.330154,-71.057655
Aquarium,Blue Line,42.359784,-71.051652
Arlington,"Green Line B, Green Line C, Green Line D, Green Line E",42.351902,-71.070893
Ashmont,Red Line,42.28452,-71.063777
Assembly,Orange Line,42.392811,-71.077257
Babcock Street,Green Line B,42.351616,-71.119924
Back Bay,Orange Line,42.34735,-71.075727
Back of the Hill,Green Line E,42.330139,-71.111313
Ball Square,Green Line E,42.399889,-71.111003
Beachmont,Blue Line,42.397542,-70.992319
Beaconsfield,Green Line D,42.335765,-71.140455
Blandford Street,Green Line B,42.349293,-71.100258
Boston College,Green Line B,42.340081,-71.166769
Boston University Central,Green Line B,42.350082,-71.106865
Boston University East,Green Line B,42.349735,-71.103889
Bowdoin,Blue Line,42.361365,-71.062037
Boylston,"Green Line B, Green Line C, Green Line D, Green Line E",42.35302,-71.06459
Braintree,Red Line,42.207854,-71.001138
Brandon Hall,Green Line C,42.340023,-71.129082
Brigham Circle,Green Line E,42.334229,-71.104609
Broadway,Red Line,42.342622,-71.056967
Brookline Hills,Green Line D,42.331316,-71.126683
Brookline Village,Green Line D,42.332608,-71.116857
Central,Red Line,42.365486,-71.103802
Charles/MGH,Red Line,42.361166,-71.070628
Chestnut Hill,Green Line D,42.326753,-71.164699
Chestnut Hill Avenue,Green Line B,42.338169,-71.15316
Chinatown,Orange Line,42.352547,-71.062752
Chiswick Road,Green Line B,42.340805,-71.150711
Cleveland Circle,Green Line C,42.336142,-71.149326
Community College,Orange Line,42.373622,-71.069533
Coolidge Corner,Green Line C,42.342116,-71.121263
Copley,"Green Line B, Green Line C, Green Line D, Green Line E",42.349974,-71.077447
Davis,Red Line,42.39674,-71.121815
Dean Road,Green Line C,42.337807,-71.141853
Downtown Crossing,"Orange Line, Red Line",42.355518,-71.060225
East Somerville,Green Line E,42.379467,-71.086625
Eliot,Green Line D,42.319045,-71.216684
Englewood Avenue,Green Line C,42.336971,-71.14566
Fairbanks Street,Green Line C,42.339725,-71.131073
Fenway,Green Line D,42.345403,-71.104213
Fenwood Road,Green Line E,42.333706,-71.105728
Fields Corner,Red Line,42.300093,-71.061667
Forest Hills,Orange Line,42.300713,-71.113943
Gilman Square,Green Line E,42.387928,-71.096766
Government Center,"Blue Line, Green Line B, Green Line C, Green Line D, Green Line E",42.359705,-71.059215
Green Street,Orange Line,42.310525,-71.107414
Griggs Street,Green Line B,42.348545,-71.134949
Harvard,Red Line,42.373362,-71.118956
Harvard Avenue,Green Line B,42.350243,-71.131355
Hawes Street,Green Line C,42.344906,-71.111145
Haymarket,"Green Line D, Green Line E, Orange Line",42.363021,-71.05829
Heath Street,Green Line E,42.328316,-71.110252
Hynes Convention Center,"Green Line B, Green Line C, Green Line D",42.347888,-71.087903
JFK/UMass,Red Line,42.320685,-71.052391
Jackson Square,Orange Line,42.323132,-71.099592
Kendall/MIT,Red Line,42.362491,-71.086176
Kenmore,"Green Line B, Green Line C, Green Line D",42.348949,-71.095169
Kent Street,Green Line C,42.344074,-71.114197
Lechmere,"Green Line D, Green Line E",42.371572,-71.076584
Longwood,Green Line D,42.341702,-71.109956
Longwood Medical Area,Green Line E,42.33596,-71.100052
Magoun Square,Green Line E,42.393682,-71.106388
Malden Center,Orange Line,42.426632,-71.07411
Massachusetts Avenue,Orange Line,42.341512,-71.083423
Maverick,Blue Line,42.369119,-71.03953
Medford/Tufts,Green Line E,42.407975,-71.117044
Mission Park,Green Line E,42.333195,-71.109756
Museum of Fine Arts,Green Line E,42.337711,-71.095512
Newton Centre,Green Line D,42.329443,-71.192414
Newton Highlands,Green Line D,42.322381,-71.205509
North Quincy,Red Line,42.275275,-71.029583
North Station,"Green Line D, Green Line E, Orange Line",42.365577,-71.06129
Northeastern University,Green Line E,42.340401,-71.088806
Oak Grove,Orange Line,42.43668,-71.071097
Orient Heights,Blue Line,42.386867,-71.004736
Packard's Corner,Green Line B,42.351967,-71.125031
Park Street,"Green Line B, Green Line C, Green Line D, Green Line E, Red Line",42.356395,-71.062424
Porter,Red Line,42.3884,-71.119149
Prudential,Green Line E,42.34557,-71.081696
Quincy Adams,Red Line,42.233391,-71.007153
Quincy Center,Red Line,42.251809,-71.005409
Reservoir,Green Line D,42.335088,-71.148758
Revere Beach,Blue Line,42.407843,-70.992533
Riverside,Green Line D,42.337352,-71.252685
Riverway,Green Line E,42.331684,-71.111931
Roxbury Crossing,Orange Line,42.331397,-71.095451
Ruggles,Orange Line,42.336377,-71.088961
Saint Mary's Street,Green Line C,42.345974,-71.107353
Saint Paul Street,Green Line C,42.343327,-71.116997
Savin Hill,Red Line,42.31129,-71.053331
Science Park/West End,"Green Line D, Green Line E",42.366664,-71.067666
Shawmut,Red Line,42.293126,-71.065738
South Station,Red Line,42.352271,-71.055242
South Street,Green Line B,42.3396,-71.157661
State,"Blue Line, Orange Line",42.358978,-71.057598
Stony Brook,Orange Line,42.317062,-71.104248
Suffolk Downs,Blue Line,42.390501,-70.997123
Sullivan Square,Orange Line,42.383975,-71.076994
Summit Avenue,Green Line C,42.34111,-71.12561
Sutherland Road,Green Line B,42.341614,-71.146202
Symphony,Green Line E,42.342687,-71.085056
Tappan Street,Green Line C,42.338459,-71.138702
Tufts Medical Center,Orange Line,42.349662,-71.063917
Union Square,Green Line D,42.377359,-71.094761
Waban,Green Line D,42.325845,-71.230609
Warren Street,Green Line B,42.348343,-71.140457
Washington Square,Green Line C,42.339394,-71.13533
Washington Street,Green Line B,42.343864,-71.142853
Wellington,Orange Line,42.40237,-71.077082
Wollaston,Red Line,42.266514,-71.020337
Wonderland,Blue Line,42.41342,-70.991648
Wood Island,Blue Line,42.37964,-71.022865
Woodland,Green Line D,42.332902,-71.243362
